Ensembl_ID	HS_WB_0001	HS_WB_0002	HS_WB_0003	HS_WB_0004	HS_WB_0005	HS_WB_0006	HS_WB_0007	HS_WB_0008	HS_WB_0009	HS_WB_0010	…
ENSG00000000419	25.20	12.08	16.93	22.43	13.86	13.61	11.98	8.91	23.17	29.31	
ENSG00000000457	23.51	15.45	15.59	14.01	8.81	14.36	14.11	13.56	16.24	14.70	
ENSG00000000460	4.31	1.98	1.98	2.62	1.93	2.33	1.68	1.68	2.52	3.17	
ENSG00000000938	1323.98	745.48	626.57	863.60	976.91	517.56	967.56	835.73	634.49	836.96	
ENSG00000000971	3.66	3.47	1.39	0.74	1.88	4.46	1.24	0.50	0.89	5.64	
ENSG00000001036	20.99	9.75	14.16	19.50	13.42	13.47	10.84	7.38	13.37	32.72	
ENSG00000001084	19.16	15.30	11.34	14.65	9.85	22.72	9.41	5.10	13.61	18.42	
ENSG00000001167	55.59	32.18	31.04	24.16	26.19	25.64	28.12	31.63	25.54	21.53	
ENSG00000001460	3.22	2.67	2.18	2.67	1.83	3.76	1.58	0.40	1.73	2.03	
…											
