Ensembl_ID,Neutrophil,Lymphocyte,Monocyte,Eosinophil
ENSG00000001036,4.4433,8.9055,67.7191,20.5249
ENSG00000002726,1.9613,1.0346,1.13965,24.43345
ENSG00000002933,2.0469,1.0419,93.2127,4.75115
ENSG00000004399,1,1.0567,10.3196,1
ENSG00000004799,2.2987,1.0376,28.3737,34.69425
ENSG00000005059,2.2298,58.2455,34.3246,1.4283
ENSG00000005448,1,24.0959,8.396,1.01055
ENSG00000005893,355.631,18.9854,95.40215,191.83075
ENSG00000006327,68.1032,2.0311,11.48525,112.4788
ENSG00000006534,19.9934,1.1744,74.32565,137.16345
ENSG00000007038,1.0389,1.903,2.8848,28.46445
ENSG00000007237,7.4204,1.3871,22.07415,10.32575
ENSG00000007312,4.6971,46.1143,10.57175,2.12705
ENSG00000007350,1.088,3.602,1.0525,58.8266
ENSG00000008130,344.6763,5.786,110.1775,273.80605
ENSG00000008394,5.0376,1.0483,140.8157,1.7196
ENSG00000008438,317.855,1.0245,1.266,371.861
ENSG00000008516,12.8732,1.0051,1.1594,2.9082
ENSG00000008517,30.3382,984.2849,9.6202,8.94
ENSG00000010278,15.688,5.1571,12.88835,820.13755
ENSG00000010327,1.0188,1,8.827,1
ENSG00000010610,5.8641,1.8111,192.61995,2.52995
ENSG00000010671,17.3397,1.322,52.52435,88.7086
ENSG00000010810,2.9012,30.6381,6.19075,1.07245
ENSG00000011422,798.9715,4.5935,384.3463,531.60495
ENSG00000011600,3790.3381,10.6197,3346.4083,2012.9566
ENSG00000012779,298.8669,3.3029,167.3301,272.65695
ENSG00000013725,1.0562,24.6087,1.0557,1.0482
ENSG00000014257,15.0604,1.0587,24.5712,132.4052
ENSG00000017483,1.1317,10.9635,1.32635,1.07435
ENSG00000017797,138.0904,8.1415,8.481,12.3703
ENSG00000019169,1.2944,1.0075,25.9662,1.0326
ENSG00000019991,3.4009,1.0109,14.6285,3.6111
ENSG00000021300,1.1387,34.7723,1.24755,1.11665
ENSG00000023445,2.62,30.4179,4.3566,2.8273
ENSG00000025708,90.6485,2.6603,117.817,15.11485
ENSG00000027075,2.8393,81.92,3.04835,2.88395
ENSG00000030582,540.2333,34.0869,1577.6408,121.4218
ENSG00000033327,15.0251,1.0287,3.3139,1.88005
ENSG00000035664,42.8277,1.513,1.173,184.2678
ENSG00000038427,2.3672,1.0846,178.47065,1.0772
ENSG00000042493,109.5824,60.4965,950.31105,571.8557
ENSG00000057704,50.6201,2.4266,4.14005,35.4966
ENSG00000059377,139.0513,3.9948,259.163,243.32395
ENSG00000059573,1.2977,20.1317,3.00515,1.2273
ENSG00000059728,304.701,2.2908,8.59655,98.9592
ENSG00000059804,160.3745,10.8169,15.8116,24.3157
ENSG00000060558,5.4631,1.0354,25.18285,12.59265
ENSG00000062282,204.2879,1.1954,16.82275,101.21835
ENSG00000062716,1870.1263,48.3988,413.49385,65.91345
ENSG00000064225,43.669,1,15.17215,40.94375
ENSG00000064601,117.1152,31.3054,228.22265,440.5521
ENSG00000064886,2.217,30.1633,3.62975,1.15225
ENSG00000066336,67.1026,1.0935,14.35995,33.40925
ENSG00000067182,306.3967,23.1786,128.54215,77.7319
ENSG00000067606,1.5419,1.4442,1.0745,12.86605
ENSG00000067836,4.0335,4.7513,52.7177,6.1093
ENSG00000068024,33.2694,1.4844,8.3213,2.91685
ENSG00000069493,4.3119,150.86,3.05955,1.59505
ENSG00000069966,2.5622,25.6746,3.73265,1.1267
ENSG00000070540,27.7766,3.605,16.1205,183.2311
ENSG00000070731,23.8341,1,2.7374,5.57775
ENSG00000071242,1.5997,1.3844,1.4482,19.4673
ENSG00000071967,8.2134,1.0209,14.7083,1.32725
ENSG00000072110,217.7431,13.9324,51.52925,101.63175
ENSG00000072134,8.7107,2.6124,2.1678,21.67045
ENSG00000072952,17.0228,1.0111,2.69485,2.44595
ENSG00000073737,60.1038,1.1053,18.83885,86.8965
ENSG00000073849,3.1069,53.7591,8.28205,4.52745
ENSG00000074416,1.1639,1.2671,6.965,25.12965
ENSG00000074964,1.0123,1,16.41805,1.00695
ENSG00000075413,3.2446,2.4772,1.97735,81.04045
ENSG00000076555,1.0602,1.7648,1.26235,14.4937
ENSG00000078596,3.0114,93.4918,1.66455,66.94505
ENSG00000079385,16.9663,1.5975,1.05435,31.0761
ENSG00000081059,1.7468,33.8298,1.2718,3.5718
ENSG00000081189,16.5503,1.3623,62.1433,1.20135
ENSG00000082074,1145.6614,154.5411,299.27405,263.59385
ENSG00000082512,1.1847,12.5168,1.291,1.02785
ENSG00000083444,18.9431,3.4829,31.6372,2.56645
ENSG00000083845,46.365,1366.6775,538.73175,107.8554
ENSG00000084110,45.4898,1.0225,13.94165,3.03275
ENSG00000084207,70.6216,312.0017,2561.21145,218.83785
ENSG00000084234,94.2978,13.1153,164.2929,50.83525
ENSG00000085265,138.974,1.9527,1333.68675,8.75945
ENSG00000085514,1079.5963,1.9045,477.6377,16.1179
ENSG00000085662,2.4815,116.231,85.7636,4.2579
ENSG00000085871,12.1986,3.2145,88.0862,26.7539
ENSG00000086300,203.0006,16.6032,120.44255,3.2865
ENSG00000086730,294.549,3.2018,240.8876,36.4428
ENSG00000087253,27.3362,1.0506,13.9019,177.1985
ENSG00000087589,56.8831,2.7977,3.60785,17.36305
ENSG00000089012,3.4467,136.4205,2.1385,1.97965
ENSG00000089127,19.4942,32.1146,214.7223,1.57815
ENSG00000089157,51.9199,2581.829,1299.99185,108.3316
ENSG00000089220,5.2909,192.87,58.40555,15.3421
ENSG00000090013,32.6354,24.4239,396.49565,18.0164
ENSG00000090104,1,1.3006,1.014,28.61505
ENSG00000090376,9.0886,1.0254,19.47035,4.7306
ENSG00000090382,583.6721,16.4564,18220.72165,198.13395
ENSG00000090674,29.1415,5.7763,41.06855,84.24905
ENSG00000091106,13.7458,1.0845,38.743,5.61185
ENSG00000091181,1.7263,1.2082,1.0626,300.71685
ENSG00000091490,1.2787,7.5281,1.19715,1.03685
ENSG00000092067,2.503,1.5403,3.2654,575.8095
ENSG00000092068,1.006,1.0194,1.1073,13.00375
ENSG00000092964,1.7155,5.7899,54.30265,1.16045
ENSG00000093072,7.5549,26.638,153.85335,8.79825
ENSG00000093134,51.7156,1,2.58805,1.0155
ENSG00000095303,2.9101,1.0374,9.9392,19.19265
ENSG00000096092,1.3374,36.8236,1.4025,16.1626
